ma tanbeta expm2 expm1 exp expp1 expp2 obs
10 1.0 168.0921261413196 220.4941794336294 294.66816525471967 381.5958076306592 476.10093632789 263.07751805609706
50 1.0 194.4947674386667 257.1483243296379 345.7801852973533 450.5892051931831 565.6209248676912 323.5431785622903
100 1.0 275.44893459027276 363.16754386599496 491.4117339116174 642.2106495014132 808.6363957222757 460.7310564392894
150 1.0 348.05811439476565 457.6108323682 623.0810834739084 824.238962404296 1045.834232850561 642.0660715318046
200 1.0 479.93142796077905 631.041912943713 859.1739832243835 1153.7288100978249 1467.166016266035 850.067222638078
250 1.0 646.0721370099127 845.5278890467094 1156.637737326785 1566.9614004086695 2008.7970160675015 1187.8412531737788
300 1.0 815.6925773012016 1072.4970298770747 1460.2676509590945 1989.9268343968333 2573.839035171887 1725.1741609445103
350 1.0 1323.2583760417945 1739.9208863997414 2368.938006370169 3228.2349248113105 4175.456857213997 2966.9458580238024
400 1.0 2351.3017494160595 3103.4031429309634 4238.986711258288 5793.419127069271 7539.906005867094 4939.694509549675
450 1.0 3198.6371435222695 4221.833449511368 5766.5584955304475 7881.328880926748 10294.807371876406 6732.5427627781
500 1.0 4293.61517337046 5666.953846495759 7740.511058446696 10609.978050205644 13892.378151557763 9549.012001127885
10 10.0 1.861339357131781 2.4416045154503236 3.2629574381211732 4.225535791380751 5.272022141057064 2.9131438192570416
50 10.0 2.149111615767119 2.8414155201689355 3.8207722629812615 4.978881990361591 6.249949629814212 3.5750596913600954
100 10.0 3.0783328528457123 4.058649139568892 5.491866893673685 7.177149346205519 9.0370724673935 5.148989047545447
150 10.0 3.855866755320632 5.069516619290405 6.902633601328082 9.131106220871064 11.585988900264468 7.112953606163753
200 10.0 5.339703588436352 7.020954600361478 9.55914560712893 12.836354338239364 16.323647891064645 9.4578240446125
250 10.0 7.176953436416112 9.392626521496835 12.848619694411402 17.406738912224377 22.314911635489533 13.195246901278415
300 10.0 9.065856074389504 11.920059080647293 16.22986002579933 22.11665372620602 28.606432007407584 19.174111769075633
350 10.0 11.667483341469469 15.34129564194997 20.887488964154393 28.46411395501816 36.8159946739155 26.160266203704122
400 10.0 15.247872087540017 20.125147344968756 27.489252355679316 37.56953518237222 48.895265083729946 32.033247137183764
450 10.0 18.595232530384784 24.543570019252424 33.5238075821175 45.81799579426094 59.8487194220342 39.139543679767925
500 10.0 23.52536646687872 31.0500966217351 42.411429981029194 58.13367331676581 76.11843957019124 52.32047998069941
10 20.0 0.6013272664234904 0.7887886555117025 1.0541362429176238 1.3651083435537714 1.7031878955652007 0.9411248963389868
50 20.0 0.6993991938906823 0.9247000992106554 1.2434184530779346 1.620309538596376 2.033961242812946 1.1634546330232427
100 20.0 0.9944981231651954 1.3112028961247622 1.77422376965591 2.3186776400347378 2.9195516006082625 1.663452325906988
150 20.0 1.253103550024292 1.6475230280647248 2.243260781354962 2.967483667643219 3.7652867027704584 2.3116118840835598
200 20.0 1.7310815853785844 2.276127320397549 3.0989849264833813 4.161425114765157 5.291972822540278 3.066137430705936
